Scientific Name,Accepted Symbol
Acacia abyssinica ssp. calophylla,"ACABC2,VAABC"
Vachellia abyssinica ssp. calophylla,"ACABC2,VAABC"
Acacia acinacea,ACAC7
Acacia cyclophylla,ACAC7
Acacia aciphylla,ACAC8
Acacia aculeatissima,ACAC9
Acacia acuminata,ACAC10
Acacia adunca,ACAD
Acacia accola,ACAD
Acacia alata,ACAL16
Acacia ampliceps,ACAM9
Acacia anegadensis,"ACAN4,VAAN6"
Acacia anegadensis,"ACAN4,VAAN6"
Vachellia anegadensis,"ACAN4,VAAN6"
Acacia aneura,ACAN10
Acacia angustissima,"ACAN,ACAN11"
Acacia angustissima,"ACAN,ACAN11"
Acaciella angustissima,"ACAN,ACAN11"
Acacia angustissima var. chisosiana,"ACANC,ACANC3"
Acacia angustissima var. chisosiana,"ACANC,ACANC3"
Acaciella angustissima var. chisosiana,"ACANC,ACANC3"
Acacia angustissima var. hirta,"ACANH,ACANH2"
Acacia angustissima var. hirta,"ACANH,ACANH2"
Acaciella angustissima var. hirta,"ACANH,ACANH2"
Acacia angustissima var. cuspidata,"ACANH,ACANH2"
Acacia angustissima var. texensis,"ACANH,ACANH2"
Acaciella angustissima var. texensis,"ACANH,ACANH2"
Acacia cuspidata,"ACANH,ACANH2"
Acacia hirta,"ACANH,ACANH2"
Acaciella hirta,"ACANH,ACANH2"
Acacia texensis,"ACANH,ACANH2"
Acacia angustissima var. leucothrix,"ACANL,ACLE10"
Acacia angustissima var. leucothrix,"ACANL,ACLE10"
Acaciella leucothrix,"ACANL,ACLE10"
Acacia angustissima var. shrevei,"ACANS,ACSH2"
Acacia angustissima var. shrevei,"ACANS,ACSH2"
Acaciella shrevei,"ACANS,ACSH2"
Acacia hirta ssp. lemmonii,"ACANS,ACSH2"
Acacia lemmonii,"ACANS,ACSH2"
Acacia angustissima var. suffrutescens,"ACANS2,ACSU12"
Acacia angustissima var. suffrutescens,"ACANS2,ACSU12"
Acaciella suffrutescens,"ACANS2,ACSU12"
Acacia arenaria,"ACAR12,VAAR6"
Acacia arenaria,"ACAR12,VAAR6"
Vachellia arenaria,"ACAR12,VAAR6"
Acacia auriculiformis,ACAU
Acacia baileyana,ACBA
Acacia beckleri,ACBE6
Acacia berlandieri,"ACBE,SEBE2"
Acacia berlandieri,"ACBE,SEBE2"
Senegalia berlandieri,"ACBE,SEBE2"
Acacia binervata,ACBI5
Acacia boomanii,ACBO4
Acacia brachybotrya,ACBR3
Acacia buxifolia,ACBU3
Acacia caesiella,ACCA23
Acacia calamifolia,ACCA24
Acacia cambagei,ACCA25
Acacia cardiophylla,ACCA27
Acacia catechu,"ACCA21,SECA28"
Acacia catechu,"ACCA21,SECA28"
Senegalia catechu,"ACCA21,SECA28"
Acacia caven,"ACCA35,VACA"
Acacia caven,"ACCA35,VACA"
Vachellia caven,"ACCA35,VACA"
Acacia cavenia,"ACCA35,VACA"
Acacia chinchillensis,ACCH8
Acacia chinchellensis,ACCH8
Acacia choriophylla,"ACCH,VACH3"
Acacia choriophylla,"ACCH,VACH3"
Vachellia choriophylla,"ACCH,VACH3"
Acacia cibaria,ACCI6
Acacia brachystachya,ACCI6
Acacia cognata,ACCO15
Acacia colletioides,ACCO16
Acacia collinsii,"ACCO24,VACO8"
Acacia collinsii,"ACCO24,VACO8"
Vachellia collinsii,"ACCO24,VACO8"
Acacia collinsii var. pseudomyrmex,"ACCO24,VACO8"
Acacia confusa,ACCO
Acacia conspersa,ACCO17
Acacia constricta,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia constricta,"ACCO2,VACO9,ACCOC,ACCOP9"
Vachellia constricta,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia constricta var. constricta,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia constricta var. paucispina,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia constricta var. constricta,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia constricta var. paucispina,"ACCO2,VACO9,ACCOC,ACCOP9"
Acacia continua,ACCO18
Acacia cornigera,"ACCO5,VACO10"
Acacia cornigera,"ACCO5,VACO10"
Vachellia cornigera,"ACCO5,VACO10"
Acacia craspedocarpa,ACCR2
Acacia cultriformis,ACCU4
Acacia cupularis,ACCU5
Acacia cyclops,ACCY2
Acacia davyi,"ACDA5,VADA3"
Acacia davyi,"ACDA5,VADA3"
Vachellia davyi,"ACDA5,VADA3"
Acacia dealbata,ACDE3
Acacia decurrens var. dealbata,ACDE3
Acacia deanei,ACDE11
Acacia deanei ssp. paucijuga,ACDEP2
Acacia paucijuga,ACDEP2
Acacia decora,ACDE12
Acacia decurrens,ACDE
Mimosa decurrens,ACDE
Acacia dietrichiana,ACDI7
Acacia difformis,ACDI8
Acacia doratoxylon,ACDO2
Acacia drummondii,ACDR2
Acacia dunnii,ACDU3
Acacia eburnea,"ACEB2,VAEB"
Acacia eburnea,"ACEB2,VAEB"
Vachellia eburnea,"ACEB2,VAEB"
Acacia elata,ACEL
Acacia erioloba,ACER4
Acacia erubescens,"ACER5,SEER8"
Acacia erubescens,"ACER5,SEER8"
Senegalia erubescens,"ACER5,SEER8"
Acacia estrophiolata,ACES2
Acacia extensa,ACEX3
Acacia farnesiana,"ACFA,VAFA"
Acacia farnesiana,"ACFA,VAFA"
Vachellia farnesiana,"ACFA,VAFA"
Acacia farnesiana var. farnesiana,"ACFA,VAFA"
Acacia minuta,"ACFA,VAFA"
Acacia minuta ssp. densiflora,"ACFA,VAFA"
Acacia smallii,"ACFA,VAFA"
Mimosa farnesiana,"ACFA,VAFA"
Pithecellobium minutum,"ACFA,VAFA"
Vachellia densiflora,"ACFA,VAFA"
Acacia fimbriata,ACFI4
Acacia floribunda,ACFL6
Acacia galpinii,"ACGA3,SEGA4"
Acacia galpinii,"ACGA3,SEGA4"
Senegalia galpinii,"ACGA3,SEGA4"
Acacia genistifolia,ACGE8
Acacia diffusa,ACGE8
Acacia gerrardii,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia gerrardii,"ACGE7,VAGE2,ACPA15,ACPAN"
Vachellia gerrardii,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia gerrardii var. najdensis,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia gerrardii ssp. negevensis,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia pachyceras,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia pachyceras var. najdensis,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia pachyceras,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia pachyceras var. najdensis,"ACGE7,VAGE2,ACPA15,ACPAN"
Acacia gladiiformis,ACGL5
Acacia glandulicarpa,ACGL6
Acacia glauca,"ACGL4,ACGL7"
Acacia glauca,"ACGL4,ACGL7"
Acaciella glauca,"ACGL4,ACGL7"
Acacia villosa,"ACGL4,ACGL7"
Acacia goetzei,"ACGO2,SEGO"
Acacia goetzei,"ACGO2,SEGO"
Senegalia goetzei,"ACGO2,SEGO"
Acacia gracilifolia,ACGR9
Acacia greggii,"ACGR,SEGR4,ACGRG3"
Acacia greggii,"ACGR,SEGR4,ACGRG3"
Senegalia greggii,"ACGR,SEGR4,ACGRG3"
Acacia greggii var. arizonica,"ACGR,SEGR4,ACGRG3"
Acacia greggii var. greggii,"ACGR,SEGR4,ACGRG3"
Acacia greggii var. greggii,"ACGR,SEGR4,ACGRG3"
Acacia greggii var. wrightii,"ACGRW,SEWR4"
Acacia greggii var. wrightii,"ACGRW,SEWR4"
Senegalia wrightii,"ACGRW,SEWR4"
Acacia wrightii,"ACGRW,SEWR4"
Acacia hakeoides,ACHA4
Acacia hebeclada,"ACHE8,VAHE2"
Acacia hebeclada,"ACHE8,VAHE2"
